"action_plan_id"	"co2_target_CoM2030"	"reduction_type_CoM2030"	"emission_inventory_id"	"bei_flag"	"inventory_year"	"population_in_the_inventory_year"	"emission_measure"	"aux"	"last_mei_year"	"last_mei_population"	"last_mei_emission_measure"	"population2030"	"country"	"country_code"	"natemis_base"	"natemis.05"	"year"	"natemis_last"	"emissions.2005_fx"	"emissions.trend"	"baseline_emissions_2005"	"emis_target"	"organisation_id"	"organisation_name"
"17"	0.55	"absolute"	"30685"	"TRUE"	2005	185574	1019927.1439	"17 2005 "	2018	197355	811511.9101	197355	"be"	"BEL"	117369420.864825	117369420.864825	2005	106958136.960349	1	1.9112947492817	1019927.1439	458967.214755	"11589"	"Liège"
"66"	0.44	"per_capita"	"70294"	"TRUE"	2005	16833	68262.6388	"66 2005 "	2014	18417	50575.12506424	26000	"es"	"ESP"	377629623.667267	377629623.667267	2005	279917433.235307	1	1.74124860893314	68262.6388	59044.9724308204	"11698"	"Malgrat de Mar"
"85"	0.55	"absolute"	"81297"	"TRUE"	2019	74562	101610.493212	"85 2019 "	NA	NA	NA	74562	"es"	"ESP"	284259779.891855	377629623.667267	2005	NA	1.32846660125796	NA	134986.146569491	45724.7219454	"11680"	"Gandia"
"97"	0.4	"absolute"	"68662"	"TRUE"	2011	64987	407236.740346061	"97 2011 "	2020	66447	312470.752934	66447	"be"	"BEL"	108342135.196131	117369420.864825	2005	97289377.9963382	1.08332202104336	1.89798283761176	441168.528594805	244342.044207637	"11586"	"Genk"
"150"	0.41	"absolute"	"61532"	"TRUE"	2007	157459	1561586.1398749	"150 2007 "	2010	158739	1240614.6544	158739	"it"	"ITA"	503156824.739291	506738030.205241	2005	457870049.406016	1.0071174736978	1.90999471117829	1572700.68815231	921335.822526192	"11837"	"Ravenna"
"159"	0.55	"absolute"	"72746"	"TRUE"	2009	181807	963125.07	"159 2009 "	2018	186307	718913.120575	186307	"it"	"ITA"	448626295.852955	506738030.205241	2005	379341996.602236	1.12953260851953	1.84556344580963	1087881.17264765	433406.2815	"11834"	"Modena"
"161"	0.4065	"absolute"	"71294"	"TRUE"	2010	104029	520710.1453	"161 2010 "	2017	107317	489393.15743	107317	"it"	"ITA"	457870049.406016	506738030.205241	2005	385514006.689553	1.10672893075802	1.84197253607147	576284.982342722	309041.47123555	"11823"	"Bolzano/Bozen"
"168"	0.4	"per_capita"	"60752"	"TRUE"	2006	506211	5001827.513	"168 2006 "	2016	554554	2787006.044892	620489	"ie"	"IRL"	48351443.7991896	47677923.0091075	2005	40898829.2291832	0.986070306548046	1.84586572841634	4932153.58904436	3678599.18300534	"11815"	"Dublin City Council"
"169"	0.6	"absolute"	"73203"	"TRUE"	2004	238950	600022.28	"169 2004 "	2015	214579	108975.031	214579	"pt"	"PRT"	77452937.8908027	80890360.6896332	2005	65631772.7878274	1.04438079293618	1.84737615609054	626651.744565775	240008.912	"11871"	"Porto"
"253"	0.44	"absolute"	"73233"	"TRUE"	2005	373743	2287749.738152	"253 2005 "	2018	390636	1818507.2086649	390636	"it"	"ITA"	506738030.205241	506738030.205241	2005	379341996.602236	1	1.74859587003682	2287749.738152	1281139.85336512	"11963"	"Bologna"
"258"	0.46	"per_capita"	"69476"	"TRUE"	2005	4905	25669.1014	"258 2005 "	2014	4783	15545.8007785	5300	"es"	"ESP"	377629623.667267	377629623.667267	2005	279917433.235307	1	1.74124860893314	25669.1014	14977.5674223853	"12012"	"Martorelles"
"293"	0.4	"absolute"	"51910"	"TRUE"	2008	5570	19310.73736	"293 2008 "	NA	NA	NA	5570	"it"	"ITA"	496269954.012513	506738030.205241	2005	NA	1.02109351192449	NA	19718.0686287738	11586.442416	"12026"	"Longare"
